sci_id, tp, age, actual_returns,0,1,2,3,4,5
32,8,5,63.5,28,45,31,-1,-1,-1
33,8,5,80.0,56,-1,-1,-1,-1,-1
34,8,5,72.0,40,27,44,-1,-1,-1
35,8,5,65.5,22,45,29,-1,-1,-1
36,8,5,69.5,28,-1,-1,-1,-1,-1
37,8,5,67.0,52,-1,-1,-1,-1,-1
38,8,5,73.0,34,40,-1,-1,-1,-1
39,8,4,52.2,26,-1,-1,-1,-1,-1
40,8,4,43.0,29,62,-1,-1,-1,-1
41,8,4,92.4,7,24,12,13,-1,-1
42,8,4,92.4,38,30,-1,-1,-1,-1
43,8,4,57.2,48,17,34,-1,-1,-1
44,8,4,62.0,56,-1,-1,-1,-1,-1
45,8,4,94.2,59,-1,-1,-1,-1,-1
46,8,4,62.4,48,17,51,-1,-1,-1
47,8,4,110.4,46,-1,-1,-1,-1,-1
48,8,3,102.2,59,-1,-1,-1,-1,-1
49,8,3,51.5,20,7,40,-1,-1,-1
50,8,3,86.8,52,-1,-1,-1,-1,-1
51,8,3,104.1,38,-1,-1,-1,-1,-1
52,8,3,62.3,24,63,-1,-1,-1,-1
53,8,3,69.1,38,-1,-1,-1,-1,-1
54,8,3,105.0,36,46,-1,-1,-1,-1
55,8,3,85.0,66,10,-1,-1,-1,-1
56,8,3,58.5,14,31,-1,-1,-1,-1
57,8,3,106.4,47,-1,-1,-1,-1,-1
58,8,3,85.9,37,46,-1,-1,-1,-1
59,8,3,70.2,38,-1,-1,-1,-1,-1
60,8,3,83.4,47,-1,-1,-1,-1,-1
61,8,2,97.0,48,11,13,-1,-1,-1
62,8,2,87.6,64,30,-1,-1,-1,-1
63,8,2,68.8,49,-1,-1,-1,-1,-1
64,8,2,117.6,56,-1,-1,-1,-1,-1
65,8,2,104.8,48,43,-1,-1,-1,-1
66,8,2,70.6,52,-1,-1,-1,-1,-1
67,8,2,110.2,55,-1,-1,-1,-1,-1
68,8,1,139.5,54,-1,-1,-1,-1,-1
69,8,1,84.1,8,45,-1,-1,-1,-1
70,8,1,128.7,53,-1,-1,-1,-1,-1
71,8,1,82.6,59,43,-1,-1,-1,-1
72,8,1,110.6,36,38,-1,-1,-1,-1
73,8,1,126.0,53,-1,-1,-1,-1,-1
74,8,1,103.7,22,27,13,-1,-1,-1
75,8,1,147.6,59,-1,-1,-1,-1,-1
76,8,1,92.4,52,54,-1,-1,-1,-1
77,8,1,101.0,17,36,45,-1,-1,-1
78,8,0,113.0,65,-1,-1,-1,-1,-1
79,8,0,122.0,54,-1,-1,-1,-1,-1
80,8,0,139.0,47,-1,-1,-1,-1,-1
81,8,0,140.0,42,-1,-1,-1,-1,-1
82,8,0,108.0,58,-1,-1,-1,-1,-1
83,8,0,140.0,58,-1,-1,-1,-1,-1
84,8,0,134.0,62,-1,-1,-1,-1,-1
85,8,0,129.0,50,-1,-1,-1,-1,-1
86,8,0,141.0,47,-1,-1,-1,-1,-1
87,8,0,103.0,48,31,-1,-1,-1,-1
88,8,0,62.0,16,1,-1,-1,-1,-1
20,9,7,44.7,22,7,24,-1,-1,-1
21,9,7,6.6,49,-1,-1,-1,-1,-1
22,9,7,51.9,25,43,-1,-1,-1,-1
23,9,7,22.0,51,38,-1,-1,-1,-1
24,9,7,7.7,60,-1,-1,-1,-1,-1
25,9,7,47.1,55,62,-1,-1,-1,-1
26,9,7,9.0,4,71,-1,-1,-1,-1
27,9,7,46.8,38,14,-1,-1,-1,-1
28,9,7,46.2,18,21,-1,-1,-1,-1
29,9,6,60.4,53,39,-1,-1,-1,-1
30,9,6,65.2,49,-1,-1,-1,-1,-1
31,9,6,17.2,67,20,-1,-1,-1,-1
32,9,6,6.8,42,-1,-1,-1,-1,-1
33,9,6,64.0,56,-1,-1,-1,-1,-1
34,9,6,57.6,44,-1,-1,-1,-1,-1
35,9,6,30.4,55,-1,-1,-1,-1,-1
36,9,6,12.6,41,-1,-1,-1,-1,-1
37,9,6,10.6,0,71,-1,-1,-1,-1
38,9,6,58.4,34,23,40,-1,-1,-1
39,9,5,78.5,33,26,14,-1,-1,-1
40,9,5,70.0,35,62,-1,-1,-1,-1
41,9,5,34.0,39,-1,-1,-1,-1,-1
42,9,5,40.0,60,-1,-1,-1,-1,-1
43,9,5,45.0,56,-1,-1,-1,-1,-1
44,9,5,82.5,50,-1,-1,-1,-1,-1
45,9,5,22.5,42,-1,-1,-1,-1,-1
46,9,5,51.0,17,51,47,-1,-1,-1
47,9,5,72.0,26,46,-1,-1,-1,-1
48,9,4,44.6,44,-1,-1,-1,-1,-1
49,9,4,39.0,66,-1,-1,-1,-1,-1
50,9,4,74.4,52,-1,-1,-1,-1,-1
51,9,4,103.8,20,38,41,-1,-1,-1
52,9,4,47.4,70,24,-1,-1,-1,-1
53,9,4,28.8,52,-1,-1,-1,-1,-1
54,9,4,90.0,36,46,-1,-1,-1,-1
55,9,4,90.0,66,-1,-1,-1,-1,-1
56,9,4,34.0,12,-1,-1,-1,-1,-1
57,9,4,64.2,36,71,-1,-1,-1,-1
58,9,4,94.2,55,-1,-1,-1,-1,-1
59,9,4,93.6,32,52,38,-1,-1,-1
60,9,4,91.2,40,45,47,-1,-1,-1
61,9,3,84.5,48,9,11,13,-1,-1
62,9,3,113.4,64,-1,-1,-1,-1,-1
63,9,3,95.2,49,-1,-1,-1,-1,-1
64,9,3,62.9,42,-1,-1,-1,-1,-1
65,9,3,55.7,49,-1,-1,-1,-1,-1
66,9,3,72.9,35,-1,-1,-1,-1,-1
67,9,3,79.3,61,-1,-1,-1,-1,-1
68,9,2,124.0,54,-1,-1,-1,-1,-1
69,9,2,68.2,41,45,-1,-1,-1,-1
70,9,2,55.4,53,30,-1,-1,-1,-1
71,9,2,115.2,59,43,-1,-1,-1,-1
72,9,2,89.2,32,19,36,38,-1,-1
73,9,2,56.0,68,53,-1,-1,-1,-1
74,9,2,86.4,3,22,27,-1,-1,-1
75,9,2,131.2,59,-1,-1,-1,-1,-1
76,9,2,124.8,52,54,-1,-1,-1,-1
77,9,2,97.0,35,-1,-1,-1,-1,-1
78,9,1,89.3,65,67,-1,-1,-1,-1
79,9,1,104.6,54,62,-1,-1,-1,-1
80,9,1,122.1,39,47,-1,-1,-1,-1
81,9,1,125.0,55,42,-1,-1,-1,-1
82,9,1,126.0,58,-1,-1,-1,-1,-1
83,9,1,159.3,58,-1,-1,-1,-1,-1
84,9,1,144.9,62,-1,-1,-1,-1,-1
85,9,1,117.5,50,71,-1,-1,-1,-1
86,9,1,115.9,11,47,-1,-1,-1,-1
87,9,1,113.0,48,10,31,-1,-1,-1
88,9,1,109.4,17,-1,-1,-1,-1,-1
89,9,0,74.0,36,53,-1,-1,-1,-1
90,9,0,77.0,52,-1,-1,-1,-1,-1
91,9,0,89.0,36,37,-1,-1,-1,-1
92,9,0,122.0,71,-1,-1,-1,-1,-1
93,9,0,146.0,68,-1,-1,-1,-1,-1
94,9,0,96.0,39,47,-1,-1,-1,-1
95,9,0,68.0,48,30,-1,-1,-1,-1
29,10,7,45.3,19,53,39,27,-1,-1
30,10,7,48.9,49,21,-1,-1,-1,-1
31,10,7,7.9,20,73,-1,-1,-1,-1
32,10,7,38.1,42,-1,-1,-1,-1,-1
33,10,7,48.0,56,-1,-1,-1,-1,-1
34,10,7,43.2,44,-1,-1,-1,-1,-1
35,10,7,19.3,22,74,-1,-1,-1,-1
36,10,7,41.7,41,28,-1,-1,-1,-1
37,10,7,40.2,71,-1,-1,-1,-1,-1
38,10,7,43.8,34,23,40,-1,-1,-1
39,10,6,62.8,33,26,14,-1,-1,-1
40,10,6,56.0,35,62,-1,-1,-1,-1
41,10,6,61.6,39,7,24,12,-1,-1
42,10,6,61.6,60,-1,-1,-1,-1,-1
43,10,6,30.8,17,75,-1,-1,-1,-1
44,10,6,66.0,50,56,-1,-1,-1,-1
